到达时间: 2025-03-27 16:05:27.751, AMP: 99.998, Power: 75127.927, RMS: 28.892, ASL: 84.439, tr: 40, 上升计数: 1, 持续时间: 2000, 振铃计数: 12
到达时间: 2025-03-27 16:05:27.753, AMP: 78.169, Power: 777.677, RMS: 2.940, ASL: 68.428, tr: 150, 上升计数: 1, 持续时间: 2000, 振铃计数: 1
到达时间: 2025-03-27 16:05:27.755, AMP: 61.947, Power: 54.601, RMS: 0.779, ASL: 57.119, tr: 10, 上升计数: 1, 持续时间: 2000, 振铃计数: 1
到达时间: 2025-03-27 16:05:27.757, AMP: 48.872, Power: 2.929, RMS: 0.180, ASL: 44.531, tr: 10, 上升计数: 1, 持续时间: 940, 振铃计数: 3
到达时间: 2025-03-27 16:05:27.767, AMP: 37.295, Power: 0.555, RMS: 0.078, ASL: 36.143, tr: 10, 上升计数: 1, 持续时间: 1150, 振铃计数: 29
到达时间: 2025-03-27 16:05:27.789, AMP: 64.355, Power: 33.097, RMS: 0.606, ASL: 52.770, tr: 1860, 上升计数: 13, 持续时间: 2000, 振铃计数: 13
到达时间: 2025-03-27 16:05:27.791, AMP: 58.446, Power: 8.877, RMS: 0.314, ASL: 47.718, tr: 40, 上升计数: 1, 持续时间: 2000, 振铃计数: 13
到达时间: 2025-03-27 16:05:27.794, AMP: 62.360, Power: 20.994, RMS: 0.483, ASL: 50.971, tr: 340, 上升计数: 2, 持续时间: 2000, 振铃计数: 15
到达时间: 2025-03-27 16:05:27.796, AMP: 44.011, Power: 0.884, RMS: 0.099, ASL: 38.738, tr: 20, 上升计数: 1, 持续时间: 180, 振铃计数: 7
到达时间: 2025-03-27 16:05:27.820, AMP: 37.295, Power: 0.206, RMS: 0.048, ASL: 31.672, tr: 10, 上升计数: 1, 持续时间: 140, 振铃计数: 21
到达时间: 2025-03-27 16:05:27.867, AMP: 45.949, Power: 1.527, RMS: 0.130, ASL: 41.214, tr: 110, 上升计数: 2, 持续时间: 140, 振铃计数: 16
到达时间: 2025-03-27 16:05:27.943, AMP: 99.295, Power: 39184.595, RMS: 20.866, ASL: 79.819, tr: 40, 上升计数: 1, 持续时间: 2000, 振铃计数: 6
到达时间: 2025-03-27 16:05:27.945, AMP: 62.678, Power: 87.770, RMS: 0.988, ASL: 59.601, tr: 180, 上升计数: 1, 持续时间: 2000, 振铃计数: 1
到达时间: 2025-03-27 16:05:27.947, AMP: 53.773, Power: 5.473, RMS: 0.247, ASL: 46.397, tr: 10, 上升计数: 1, 持续时间: 2000, 振铃计数: 1
到达时间: 2025-03-27 16:05:27.957, AMP: 38.634, Power: 0.258, RMS: 0.054, ASL: 32.675, tr: 10, 上升计数: 1, 持续时间: 330, 振铃计数: 17
到达时间: 2025-03-27 16:05:27.959, AMP: 42.560, Power: 0.443, RMS: 0.070, ASL: 35.294, tr: 10, 上升计数: 1, 持续时间: 620, 振铃计数: 22
到达时间: 2025-03-27 16:05:27.998, AMP: 50.115, Power: 1.312, RMS: 0.121, ASL: 39.125, tr: 1000, 上升计数: 11, 持续时间: 2000, 振铃计数: 18
到达时间: 2025-03-27 16:05:28.000, AMP: 41.947, Power: 0.558, RMS: 0.079, ASL: 36.795, tr: 150, 上升计数: 1, 持续时间: 310, 振铃计数: 15
